index,symbol,name,sector,price,market_cap_b,health_score,healthy,caution,warning
36,CAT,Caterpillar Inc.,Industrials,266.0,1330.0,84,7,2,1
37,DE,Deere & Company,Industrials,187.0,935.0,84,7,2,1
38,GE,General Electric Company,Industrials,190.0,950.0,84,7,2,1
39,HON,Honeywell International Inc.,Industrials,279.0,1395.0,84,7,2,1
40,LMT,LMT Corporation,General Business Sector,287.0,1435.0,84,7,2,1
41,RTX,RTX Corporation,Industrials,54.0,270.0,92,8,2,0
42,UNP,UNP Corporation,General Business Sector,293.0,1465.0,84,7,2,1
43,UPS,UPS Corporation,General Business Sector,298.0,1490.0,84,7,2,1
44,FDX,FDX Corporation,General Business Sector,276.0,1380.0,84,7,2,1
45,EMR,EMR Corporation,General Business Sector,278.0,1390.0,84,7,2,1
46,ETN,ETN Corporation,General Business Sector,281.0,1405.0,84,7,2,1
47,ITW,ITW Corporation,General Business Sector,294.0,1470.0,84,7,2,1
48,PH,PH Corporation,General Business Sector,202.0,1010.0,84,7,2,1
49,GD,GD Corporation,General Business Sector,189.0,945.0,84,7,2,1
50,NOC,NOC Corporation,General Business Sector,274.0,1370.0,84,7,2,1
51,XOM,Exxon Mobil Corporation,Energy,294.0,1470.0,84,7,2,1
52,CVX,Chevron Corporation,Energy,291.0,1455.0,84,7,2,1
53,COP,ConocoPhillips,Energy,276.0,1380.0,84,7,2,1
54,SLB,SLB Corporation,General Business Sector,275.0,1375.0,84,7,2,1
55,EOG,EOG Corporation,General Business Sector,269.0,1345.0,84,7,2,1
56,MPC,MPC Corporation,General Business Sector,274.0,1370.0,84,7,2,1
57,PSX,PSX Corporation,General Business Sector,51.0,255.0,92,8,2,0
58,VLO,VLO Corporation,General Business Sector,291.0,1455.0,84,7,2,1
59,OXY,OXY Corporation,General Business Sector,56.0,280.0,92,8,2,0
60,HES,HES Corporation,General Business Sector,274.0,1370.0,84,7,2,1
61,WMT,Walmart Inc.,Consumer Staples,298.0,1490.0,84,7,2,1
62,COST,Costco Wholesale Corporation,Consumer Staples,113.0,565.0,88,7,3,0
63,PG,The Procter & Gamble Company,Consumer Staples,201.0,1005.0,84,7,2,1
64,KO,The Coca-Cola Company,Consumer Staples,204.0,1020.0,84,7,2,1
65,PEP,"PepsiCo, Inc.",Consumer Staples,279.0,1395.0,84,7,2,1
66,PM,Philip Morris International Inc.,Consumer Staples,207.0,1035.0,84,7,2,1
67,MO,MO Corporation,General Business Sector,206.0,1030.0,84,7,2,1
68,CL,CL Corporation,General Business Sector,193.0,965.0,84,7,2,1
69,MDLZ,MDLZ Corporation,General Business Sector,111.0,555.0,88,7,3,0
70,TGT,TGT Corporation,General Business Sector,289.0,1445.0,84,7,2,1
71,HD,"The Home Depot, Inc.",Consumer Cyclical,190.0,950.0,84,7,2,1
72,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,292.0,1460.0,84,7,2,1
73,NKE,"NIKE, Inc.",Consumer Cyclical,272.0,1360.0,84,7,2,1
74,MCD,McDonald's Corporation,Consumer Cyclical,262.0,1310.0,84,7,2,1
75,SBUX,Starbucks Corporation,Consumer Cyclical,122.0,610.0,84,7,2,1
76,TJX,TJX Corporation,General Business Sector,296.0,1480.0,84,7,2,1
77,BKNG,BKNG Corporation,General Business Sector,90.0,450.0,88,7,3,0
78,ORLY,ORLY Corporation,General Business Sector,126.0,630.0,84,7,2,1
79,AZO,AZO Corporation,General Business Sector,284.0,1420.0,84,7,2,1
80,MAR,MAR Corporation,General Business Sector,274.0,1370.0,84,7,2,1
81,V,Visa Inc.,Financial Services,136.0,680.0,84,7,2,1
82,MA,Mastercard Incorporated,Financial Services,192.0,960.0,84,7,2,1
83,BAC,Bank of America Corporation,Financial Services,248.0,1240.0,84,7,2,1
84,WFC,Wells Fargo & Company,Financial Services,274.0,1370.0,84,7,2,1
85,C,Citigroup Inc.,Financial Services,117.0,585.0,84,7,2,1
86,GS,"The Goldman Sachs Group, Inc.",Financial Services,204.0,1020.0,84,7,2,1
87,MS,Morgan Stanley,Financial Services,210.0,1050.0,84,7,2,1
88,AXP,AXP Corporation,General Business Sector,283.0,1415.0,84,7,2,1
89,BLK,BLK Corporation,General Business Sector,267.0,1335.0,84,7,2,1
90,SCHW,SCHW Corporation,General Business Sector,109.0,545.0,88,7,3,0
91,DIS,The Walt Disney Company,Communication Services,274.0,1370.0,84,7,2,1
92,NFLX,"Netflix, Inc.",Communication Services,112.0,560.0,88,7,3,0
93,TMUS,"T-Mobile US, Inc.",Communication Services,129.0,645.0,84,7,2,1
94,VZ,Verizon Communications Inc.,Communication Services,226.0,1130.0,84,7,2,1
95,T,AT&T Inc.,Communication Services,134.0,670.0,84,7,2,1
96,CMCSA,CMCSA Corporation,General Business Sector,159.0,795.0,84,7,2,1
97,NEE,NEE Corporation,General Business Sector,266.0,1330.0,84,7,2,1
98,DUK,DUK Corporation,General Business Sector,278.0,1390.0,84,7,2,1
99,SO,SO Corporation,General Business Sector,212.0,1060.0,84,7,2,1
100,PLD,PLD Corporation,General Business Sector,274.0,1370.0,84,7,2,1
